Species,Habitat,Leafing_Habitat,Palisade,Palisade,Cell_Surf_Area,Cell_Volume,P_length,P_width,P_SA/V,P_Ames/A,S_Ames/A,P_thick,Thick,Amax,stomata_density,epid_aba,epid_ada,IAStot/leaf,LMA,H_arml,H_armnum,chl/pal,osmotic_full,pot_loss,rwc_loss,cap_full,cap_loss,xylem_area,xylem_diam,Huber,trich_dens,trich_cov,trich_type,VLD_tot,3rd_width,VLD_min
V_erubescens,cold_temperate,deciduous,H,H2,2735.509383,6362.485438,23.018,30.819,0.430,9.735,9.125,27.945,189.496,9.264,,11.15919718,27.72139958,0.485294398,49.90728994,9.339026996,3.6,0.031107127,,,,,,,,,,,,,,
V_amplificatum,tropical,evergreen,H,H1,3044.198121,11143.10433,20.190,30.796,0.273,5.410,11.298,21.117,207.321,8.593,129.9960613,9.511742244,14.57842487,0.538745512,,6.33805,2,0.018561475,,,,,,,,,,,,3.258317136,,2.941
V_opulus,cold_temperate,deciduous,H,H1,2730.373,9792.098,26.109,25.871,0.279,5.654,10.596,22.968,113.236,7.773,,10.31094828,9.297525931,0.16783383,39.60955423,6.765575,2.9,0.03790446,-0.981594539,-1.308904831,91.6425257,0.062768924,0.140883738,0.034101,0.305800333,1.050389669,20.97253004,8.124140916,whiplike_1,5.861185097,0.014029667,5.886232897
V_acutifolium,cloud_forest,semi_deciduous,H,H2,3213.642384,10435.23071,30.866,28.203,0.308,15.434,14.659,57.670,273.772,12.768,,18.5322963,27.29355333,0.320032166,,10.20776421,3.6,0.017243173,,,,,,,,,,,,,,
V_lautum,cloud_forest,semi_deciduous,H,H2,5120.162625,22104.8911,39.520,32.593,0.232,16.431,15.121,78.647,273.269,13.223,,18.4316842,23.4526024,0.238604952,,20.12186352,2,0.018483133,,,,,,,,,,,,,,
V_acerifolium,cold_temperate,deciduous,H,H1,3534.976,15037.196,34.314,28.828,0.229,6.581,7.652,32.409,115.342,6.770,,10.3401454,12.93416613,0.241366198,32.06320322,7.43236214,3,0.024311594,-1.188424999,-1.449073011,90.49853593,0.066338346,0.219424862,0.026528333,0.305848056,0.653348228,23.83639866,28.75476861,Anemone_4,5.731703189,0.0239125,4.811858248
V_rafinesquianum,cold_temperate,deciduous,H,H1,3151.912204,8443.563493,44.434,22.163,0.373,14.028,8.859,48.355,126.176,8.216,,9.108543833,11.21602242,0.344102098,73.01182569,21.11005,3.6,0.031571961,-1.064529407,-1.506260774,90.8883589,0.064627652,0.087663653,0.029726,0.332618833,2.032047416,20.8372234,13.43529343,whiplike_1,6.115425645,0.011534167,6.600347937
V_bracteatum,cold_temperate,deciduous,H,H1,2466.182465,9655.873448,35.428,21.392,0.255,6.989,8.660,35.896,151.751,8.418,,11.12016165,11.84997481,0.465722482,64.81165858,14.51025908,2,0.032322224,-0.85075436,-1.321662917,90.12444235,0.080214678,0.085574313,0.063147333,0.448627833,1.832102568,6.636819968,7.047365328,whiplike_1,4.719688237,0.021596286,4.739857845
V_farreri,cold_temperate,deciduous,H,H2,2444.568397,8023.402832,25.398,23.785,0.305,3.534,9.255,15.717,123.936,7.371,96.67342114,9.896413289,12.95175372,0.416741704,46.96650315,7.937064801,2.8,0.039312538,,,,,,,,,,,,,,
V_cylindricum,tropical,evergreen,H,H1,4388.560194,13779.39227,41.185,29.512,0.318,18.475,14.124,73.933,283.998,13.549,219.5204323,12.58418141,17.80553534,0.41029258,136.3698224,20.12446494,3.2,0.033058592,,,,,,,,,,,,,,
V_parvifolium,cold_temperate,deciduous,H,H1,2082.235793,5881.043658,23.162,21.900,0.354,8.564,11.898,24.720,123.915,9.764,,8.516214272,15.06207147,0.277217334,,11.08713234,2,0.039073224,,,,,,,,,,,,,,
V_rufidulum,cold_temperate,deciduous,H,H2,3822.096995,14458.29501,35.305,30.298,0.264,13.040,14.964,54.431,195.192,13.213,,13.65731415,18.56317537,0.233964165,76.83363369,9.079924638,3.8,0.021404397,-1.491512783,-1.863346117,90.85145975,0.050039964,0.139273294,0.051373333,0.420996,1.162624513,0,0,none,6.272983828,0.022834,6.846610957
V_tashiroi,warm_temperate,semi_deciduous,H,H1,1922.630875,4660.694267,28.817,18.271,0.413,11.877,7.805,31.017,118.662,9.521,,9.61352862,7.669569826,0.387909836,,16.49698536,2,0.066215592,,,,,,,,,,,,,,
V_loeseneri,cloud_forest,semi_deciduous,H,H2,2677.280909,7178.527317,29.637,24.861,0.373,12.336,8.715,39.060,192.875,9.948,,16.78872317,20.71819133,0.371600112,,13.31897994,3.2,0.021295561,,,,,,,,,,,,,,
V_setigerum,cold_temperate,deciduous,H,H1,5505.073294,21366.37653,53.566,28.337,0.258,13.597,11.650,57.740,185.244,10.109,,8.295291087,13.68883461,0.214676578,67.61627612,32.54290424,2,0.024422788,-1.001725512,-1.413007625,92.9647087,0.05072755,0.086423522,0.013022333,0.236751833,1.532369378,0.789288765,1.24177516,whiplike_1,6.009306568,0.0227705,6.034987365
V_taitoense,warm_temperate,evergreen,H,H2,3893.728202,14142.41983,41.844,26.972,0.275,33.106,13.760,129.384,295.789,17.999,,9.452067,13.3657128,0.282835529,,11.78099767,3.4,0.034628159,,,,,,,,,,,,,,
V_inopinatum,tropical,evergreen,H,H1,1280.377526,3263.906921,11.779,20.337,0.392,3.594,13.239,9.331,104.762,8.632,373.1783484,8.20019244,18.8920112,0.079513475,,2.417938309,2,0.034379675,,,,,,,,,,,,,,
V_hispidulum,tropical,evergreen,H,H1,6793.305975,33293.11115,33.273,43.589,0.204,4.509,7.855,28.283,275.796,7.238,27.51051784,31.60201311,42.28970604,0.429403021,,17.06975907,2,0.006162698,,,,,,,,,,,,2.661967253,,2.345
V_vernicosum,tropical,evergreen,H,H1,2373.483751,8566.331948,26.109,22.301,0.277,6.819,9.505,28.885,301.848,8.473,64.66389761,15.97239718,54.45149835,0.473651169,,5.094113671,2,0.003590329,,,,,,,,,,,,1.856002731,,1.539
V_hartwegii,cloud_forest,semi_deciduous,H,H2,3635.559505,13557.06668,29.656,31.671,0.268,11.966,16.921,48.578,170.991,12.392,,19.29341287,16.9950915,0.135620837,,7.476843149,3.8,0.065824582,,,,,,,,,,,,,,
V_luzonicum,warm_temperate,semi_deciduous,H,H1,1859.789127,4112.866994,32.032,16.040,0.452,13.182,10.356,31.377,127.068,10.723,,9.025757757,18.40950944,0.266712353,,20.14437844,2,0.045870641,,,,,,,,,,,,,,
V_furcatum,cold_temperate,deciduous,H,H1,3171.395,10017.52,25.739,25.205,0.276,7.992,6.073,30.634,105.928,7.266,,6.190101806,5.730230548,0.313568508,46.97912071,5.30273307,2.6,0.020047458,-0.919502905,-1.281934168,88.04127225,0.099813345,0.177349835,,,,4.420017085,2.777900005,Anemone_10,4.302356462,0.056147333,4.137457367
V_taiwanianum,cold_temperate,deciduous,H,H1,5336.736801,24870.99184,44.399,31.962,0.215,8.805,6.696,43.921,177.311,12.986,,10.33790014,10.98776886,0.249537059,,13.4615197,2.4,0.054291126,,,,,,,,,,,,,,
V_sieboldii,cold_temperate,deciduous,H,H2,4319.167751,14119.0252,43.130,29.563,0.306,13.083,19.091,50.327,278.357,14.196,,15.76854578,24.64503417,0.41108434,65.72571586,16.85431799,3.6,0.018904947,-1.063396711,-1.352068751,91.20431193,0.06183263,0.180688404,0.045094167,0.45336225,1.83076256,5.344612495,3.652949279,Whiplike_2,4.280009803,0.035463667,4.148856271
V_sargentii,cold_temperate,deciduous,H,H1,3692.033592,14959.96236,38.626,26.075,0.247,8.992,12.188,38.813,131.363,10.700,,11.53286512,13.77781404,0.33016672,69.36542985,10.02044162,2.6,0.03265177,-0.946501467,-1.316300199,93.39997498,0.052292432,0.080964447,0.053765556,0.3911855,1.360407526,7.261456639,5.062620818,Whiplike_2,4.901652279,0.0225325,4.896237411
V_wrightii,cold_temperate,deciduous,H,H1,2683.784275,7520.334298,28.592,24.350,0.357,8.436,7.674,31.144,145.259,8.972,,10.64141928,16.94251384,0.381604212,45.68426268,16.85267597,2,0.041707269,-1.007865711,-1.293542088,90.22879636,0.081609616,0.19028244,0.018055667,0.2852535,0.647453909,,,,4.30421909,0.022613,4.19718374
V_lantanoides,cold_temperate,deciduous,H,H1,2062.637228,5667.926757,20.705,24.033,0.364,5.778,7.515,16.904,95.055,7.528,,8.641915989,12.7238082,0.337779648,,6.325114556,3.2,0.041337575,,,,,,,,,,,,,,
V_lobophyllum,cold_temperate,deciduous,H,H1,3283.745,10842.993,29.852,25.842,0.278,7.480,7.852,29.495,148.540,10.924,,11.20087788,16.60345448,0.38103432,72.82060838,6.765575,2.9,0.03790446,-1.096480778,-1.500699279,91.3518743,0.060213712,0.113993256,0.035231167,0.365586333,2.077758062,0.541226582,0.241903476,whiplike_1,4.074662045,0.027295333,0
V_mullaha,cold_temperate,deciduous,H,H2,3041.628737,10287.332,26.379,28.931,0.296,14.524,13.672,50.114,154.447,12.176,,8.389682296,12.4113482,0.231461025,68.19329759,7.634278209,3.4,0.065221579,,,,,,,,,,,,,,
V_sympodiale,cold_temperate,deciduous,H,H1,2842.638655,9848.702846,29.989,25.801,0.289,15.015,16.965,54.156,199.066,13.356,,12.19438854,19.93671031,0.244218256,,7.565695973,3.4,0.037257701,,,,,,,,,,,,,,
V_ichangense,cold_temperate,deciduous,H,H1,2600.687712,6874.197628,36.976,20.569,0.378,9.130,8.032,33.628,116.057,7.400,,9.558056875,13.20653229,0.261675035,54.47106991,21.95464092,2,0.043120048,-1.142343273,-1.483337548,87.79719148,0.082751736,0.205848177,0.044927333,0.348380667,0.845643558,6.855536703,9.135968295,Whiplike_Anemone,5.321125514,0.020076667,5.724606856
V_foetens,cold_temperate,deciduous,H,H2,2860.420799,9215.409785,30.705,25.770,0.310,24.781,14.501,82.214,209.366,15.634,,8.204915865,9.65999344,0.289605123,63.89691762,9.656653926,3.2,0.074705932,,,,,,,,,,,,5.652292839,,5.334
V_discolor,cloud_forest,semi_deciduous,H,H2,3700.749905,13338.79219,34.599,28.788,0.277,16.908,16.217,63.435,229.171,13.714,,12.44065364,27.94532789,0.166368686,,11.15244181,3.6,0.039990166,,,,,,,,,,,,,,
V_integrifolium,warm_temperate,evergreen,H,H1,3281.846483,11797.36282,28.757,27.527,0.278,8.711,16.767,33.235,187.039,11.328,,11.00030329,16.43612297,0.238057935,,12.76141631,2,0.0378845,,,,,,,,,,,,,,
V_awabuki,warm_temperate,evergreen,H,H2,7794.597711,38594.19995,61.193,37.927,0.202,22.375,17.346,115.389,374.838,15.771,,10.06675976,24.37328397,0.350384815,,18.26977824,4,0.051192237,,,,,,,,,,,,,,
V_sambucinum,tropical,evergreen,H,H1,2331.630727,7233.560711,23.765,23.819,0.322,7.048,15.007,23.011,139.212,10.261,244.3029428,9.429424046,13.50817541,0.168634791,,7.590433016,2.8,0.031927805,,,,,,,,,,,,,,
V_dentatum,cold_temperate,deciduous,H,H1,2228.147617,7233.636191,22.055,24.058,0.308,5.433,10.474,18.947,120.711,11.633,122.5210692,16.30882833,17.30768457,0.178319016,60.12704683,5.735467496,2.8,0.049144383,-1.073957875,-1.455132585,94.24898351,0.040642928,0.072406859,0.063666667,0.4265,1.426565217,0.699084335,0.795642765,none,5.703990039,0.01352375,5.728366065
V_erosum,cold_temperate,deciduous,H,H1,5710.788157,26124.65167,53.125,29.818,0.219,9.315,11.569,51.533,176.051,7.498,,15.09356562,26.58992757,0.378538728,70.02699191,22.25909946,2,0.031034465,-0.919502905,-1.281934168,88.04127225,0.099813345,0.177349835,,,,20.31854793,24.36493488,Anemone_4,5.302049013,0.0250775,5.120409181
V_dilatatum,cold_temperate,deciduous,H,H1,1239.266205,2368.993146,16.778,18.081,0.523,8.317,6.975,18.290,110.332,7.192,,11.45327934,17.09170719,0.329872091,53.9933146,7.907169735,2.666666667,0.048446037,-1.096968924,-1.468435352,88.42263623,0.080575461,0.153787357,0.061508167,0.482409,2.182318356,10.10289619,3.979874715,Whiplike_2,5.06642368,0.0180185,4.580913019
V_stellato-tomentosum,cloud_forest,semi_deciduous,H,H2,1289.7978,2679.497859,15.799,20.012,0.481,13.840,15.542,29.140,136.179,12.546,,16.09099827,19.60907003,0.195410814,,4.267814588,3.6,0.04078378,,,,,,,,,,,,,,
V_odoratissimum,tropical,evergreen,H,H2,1473.682479,3489.410472,23.976,17.852,0.422,20.302,23.840,49.031,385.399,17.150,88.93391872,16.02552045,25.43126946,0.405057688,104.197471,5.667459319,3.6,0.100220391,,,,,,,,,,,,,,
V_costaricanum,cloud_forest,semi_deciduous,H,H2,3062.608509,11084.75044,28.595,27.883,0.276,15.357,27.167,56.694,244.120,16.645,,23.63216366,23.50106706,0.102498307,,6.837373899,3.6,0.055867464,,,,,,,,,,,,,,
V_beccarii,tropical,evergreen,H,H2,6326.135817,25605.06116,48.353,36.990,0.247,18.622,14.255,88.836,381.905,13.636,102.9787234,17.24859,29.41286931,0.361406178,,18.81721293,3.6,0.024324922,,,,,,,,,,,,2.64043269,,2.322
