Species,Habitat,Leafing_Habitat,layer_num,Cell_Surf_Area,Cell_Volume,P_length,P_width,P_SA/V,P_Ames/A,S_Ames/A,P_thick,Thick,Amax,stomata_density,guard_cell,epid_aba,epid_ada,IAStot/leaf,chl/pal
V_carlesii,1,1,0,3720.848397,14305.37107,71.724,16.544,0.26,12.891,11.169,67.424,235.57,10.326,154.508612,0.017233333,11.1469267,17.40431035,0.387604793,0.029061572
V_elatum,2,1,0,2792.099362,2792.099362,53.185,16.55,0.263,13.639,20.556,53.039,175.026,14.047,,,12.59723107,14.29655736,0.142215042,0.070589871
V_burejaeticum,1,1,0,2658.042223,8927.881318,58.489,14.536,0.298,11.391,9.086,57.554,211.137,12.64,89.83451537,0.023809524,14.12203613,16.27143913,0.525634566,0.041191327
V_utile,1,3,0,4750.863979,4750.863979,69.152,21.833,0.203,12.89,10.822,63.487,203.793,10.778,239.1084093,0.021047619,9.724473028,22.58641216,0.232858393,0.027787418
V_cotinifolium,1,1,0,2207.562773,2207.562773,41.684,17.099,0.273,6.159,9.655,28.276,143.11,8.314,,,11.24589084,12.33976636,0.422921615,0.05744795
V_macrocephalum,1,2,0,5910.443192,5910.443192,133.598,14.048,0.286,19.307,14.485,132.865,312.55,19.943,294.9454013,,15.17023664,21.40685326,0.246138902,0.067145463
V_rhytidophyllum,3,3,0,1810.011789,4986.642135,48.723,11.857,0.363,17.503,16.498,49.478,247.662,11.487,272.4977123,0.014775,8.518584042,10.99079071,0.147143687,0.040183963
V_cassinoides,1,1,0,5925.395,18209.123,81.135,18.584,0.233,15.582,15.387,82.054,220.146,13.331,127.4907126,0.028571429,9.385249586,15.31548069,0.356846223,0.019935686
V_punctatum,3,3,0,3814.424956,3814.424956,64.455,18.894,0.232,14.688,15.436,65.726,241.974,12.778,104.0861861,,12.16081342,14.68574726,0.330508809,0.041555668
V_lantana,1,1,0,2479.133,5554.635,50.449,13.437,0.311,16.649,8.951,61.664,174.817,14.099,142.5194191,0.0214,12.42988464,14.35884577,0.347649056,0.044507604
