Palisade,IAStot/leaf,chl/pal
0,0.38103432,0.033584848
0,0.337779648,0.041337575
0,0.381604212,0.041707269
0,0.33016672,0.03265177
1,0.41108434,0.018904947
0,0.249537059,0.054291126
0,0.313568508,0.020047458
0,0.266712353,0.045870641
3,0.303859388,0.046810661
1,0.135620837,0.065824582
0,0.473651169,0.003590329
2,0.251900864,0.027282271
0,0.429403021,0.006162698
0,0.079513475,0.034379675
1,0.282835529,0.034628159
0,0.214676578,0.024422788
2,0.387604793,0.029061572
1,0.371600112,0.021295561
2,0.142215042,0.070589871
2,0.525634566,0.041191327
0,0.387909836,0.066215592
2,0.186297074,0.024852173
1,0.233964165,0.021404397
0,0.277217334,0.039073224
0,0.41029258,0.033058592
1,0.416741704,0.039312538
0,0.465722482,0.032322224
0,0.344102098,0.031571961
0,0.241366198,0.024311594
1,0.238604952,0.018483133
2,0.404030202,0.022901853
3,0.20917457,0.061721258
1,0.320032166,0.017243173
2,0.232858393,0.027787418
2,0.422921615,0.05744795
0,0.16783383,0.03790446
2,0.292022776,0.031614539
0,0.538745512,0.018561475
1,0.485294398,0.031107127
2,0.366989909,0.014613493
1,0.241759861,0.06335388
1,0.361406178,0.024324922
1,0.102498307,0.055867464
1,0.405057688,0.100220391
1,0.195410814,0.04078378
0,0.329872091,0.048446037
0,0.378538728,0.031034465
2,0.35661015,0.045360169
0,0.178319016,0.049144383
0,0.168634791,0.031927805
1,0.350384815,0.051192237
0,0.238057935,0.0378845
1,0.166368686,0.039990166
1,0.289605123,0.074705932
0,0.261675035,0.043120048
2,0.246138902,0.067145463
0,0.244218256,0.037257701
1,0.231461025,0.065221579
0,0.232353596,0.04252432
1,0.112361356,0.058665553
0,0.259938158,0.024632768
1,0.34743557,0.024636064
2,0.147143687,0.040183963
0,0.45830028,0.056878402
0,0.32594109,0.040374849
0,0.135829031,0.036958152
1,0.308668659,0.032157829
2,0.356846223,0.019935686
1,0.33432086,0.033584848
2,0.330508809,0.041555668
1,0.34644182,0.047068926
1,0.369424553,0.041708007
1,0.271936101,0.044934088
0,0.133931569,0.027407977
1,0.304738281,0.034170772
2,0.347649056,0.044507604
1,0.332350446,0.035552434
3,0.310332729,0.024567904
