Species,Habitat,Leafing_Habitat,Palisade,Palisade,Cell_Surf_Area,Cell_Volume,P_length,P_width,P_SA/V,P_Ames/A,S_Ames/A,P_thick,Thick,Amax,stomata_density,epid_aba,epid_ada,IAStot/leaf,LMA,H_arml,H_armnum,chl/pal,osmotic_full,pot_loss,rwc_loss,cap_full,cap_loss,xylem_area,xylem_diam,Huber,trich_dens,trich_cov,trich_type,VLD_tot,3rd_width,VLD_min
V_lobophyllum,cold_temperate,deciduous,1,0,3283.745,10842.993,29.852,25.842,0.278,7.48,7.852,29.495,148.54,10.924,,11.20087788,16.60345448,0.38103432,72.82060838,10.31065,3.6,0.033584848,-1.096480778,-1.500699279,91.3518743,0.060213712,0.113993256,0.035231167,0.365586333,2.077758062,0.541226582,0.241903476,whiplike_1,4.074662045,0.027295333,0
V_lantanoides,cold_temperate,deciduous,1,0,2062.637228,5667.926757,20.705,24.033,0.364,5.778,7.515,16.904,95.055,7.528,,8.641915989,12.7238082,0.337779648,,6.325114556,3.2,0.041337575,,,,,,,,,,,,,,
V_wrightii,cold_temperate,deciduous,1,0,2683.784275,7520.334298,28.592,24.35,0.357,8.436,7.674,31.144,145.259,8.972,,10.64141928,16.94251384,0.381604212,45.68426268,16.85267597,2,0.041707269,-1.007865711,-1.293542088,90.22879636,0.081609616,0.19028244,0.018055667,0.2852535,0.647453909,,,,4.30421909,0.022613,4.19718374
V_sargentii,cold_temperate,deciduous,1,0,3692.033592,14959.96236,38.626,26.075,0.247,8.992,12.188,38.813,131.363,10.7,,11.53286512,13.77781404,0.33016672,69.36542985,10.02044162,2.6,0.03265177,-0.946501467,-1.316300199,93.39997498,0.052292432,0.080964447,0.053765556,0.3911855,1.360407526,7.261456639,5.062620818,Whiplike_2,4.901652279,0.0225325,4.896237411
V_sieboldii,cold_temperate,deciduous,1,1,4319.167751,14119.0252,43.13,29.563,0.306,13.083,19.091,50.327,278.357,14.196,,15.76854578,24.64503417,0.41108434,65.72571586,16.85431799,3.6,0.018904947,-1.063396711,-1.352068751,91.20431193,0.06183263,0.180688404,0.045094167,0.45336225,1.83076256,5.344612495,3.652949279,Whiplike_2,4.280009803,0.035463667,4.148856271
V_taiwanianum,cold_temperate,deciduous,1,0,5336.736801,24870.99184,44.399,31.962,0.215,8.805,6.696,43.921,177.311,12.986,,10.33790014,10.98776886,0.249537059,,13.4615197,2.4,0.054291126,,,,,,,,,,,,,,
V_furcatum,cold_temperate,deciduous,1,0,3171.395,10017.52,25.739,25.205,0.276,7.992,6.073,30.634,105.928,7.266,,6.190101806,5.730230548,0.313568508,46.97912071,5.30273307,2.6,0.020047458,-0.919502905,-1.281934168,88.04127225,0.099813345,0.177349835,,,,4.420017085,2.777900005,Anemone_10,4.302356462,0.056147333,4.137457367
V_luzonicum,warm_temperate,semi_deciduous,1,0,1859.789127,4112.866994,32.032,16.04,0.452,13.182,10.356,31.377,127.068,10.723,,9.025757757,18.40950944,0.266712353,,20.14437844,2,0.045870641,,,,,,,,,,,,,,
V_davidii,warm_temperate,evergreen,2,3,3720.13,,74.754,15.857,0.27,34.795,12.805,151.169,250.035,18.228,401.891253,9.526977322,19.66950726,0.303859388,155.8806904,0,0,0.046810661,,,,,,,,,,,,,,
V_hartwegii,cloud_forest,semi_deciduous,1,1,3635.559505,13557.06668,29.656,31.671,0.268,11.966,16.921,48.578,170.991,12.392,,19.29341287,16.9950915,0.135620837,,7.476843149,3.8,0.065824582,,,,,,,,,,,,,,
V_vernicosum,tropical,evergreen,1,0,2373.483751,8566.331948,26.109,22.301,0.277,6.819,9.505,28.885,301.848,8.473,64.66389761,15.97239718,54.45149835,0.473651169,,5.094113671,2,0.003590329,,,,,,,,,,,,1.856002731,,1.539
V_lentago,cold_temperate,deciduous,2,2,,,53.074,17.896,0.25,11.206,18.151,50.278,179.091,12.527,99.97378907,10.88108452,13.93853148,0.251900864,61.65795329,0,0,0.027282271,-1.087326931,-1.475726836,88.30849297,0.081771437,0.154214066,0.031794167,0.306248167,1.554830175,0,0,none,5.75961142,0.011248333,5.567696118
V_hispidulum,tropical,evergreen,1,0,6793.305975,33293.11115,33.273,43.589,0.204,4.509,7.855,28.283,275.796,7.238,27.51051784,31.60201311,42.28970604,0.429403021,,17.06975907,2,0.006162698,,,,,,,,,,,,2.661967253,,2.345
V_inopinatum,tropical,evergreen,1,0,1280.377526,3263.906921,11.779,20.337,0.392,3.594,13.239,9.331,104.762,8.632,373.1783484,8.20019244,18.8920112,0.079513475,,2.417938309,2,0.034379675,,,,,,,,,,,,,,
V_taitoense,warm_temperate,evergreen,1,1,3893.728202,14142.41983,41.844,26.972,0.275,33.106,13.76,129.384,295.789,17.999,,9.452067,13.3657128,0.282835529,,11.78099767,3.4,0.034628159,,,,,,,,,,,,,,
V_setigerum,cold_temperate,deciduous,1,0,5505.073294,21366.37653,53.566,28.337,0.258,13.597,11.65,57.74,185.244,10.109,,8.295291087,13.68883461,0.214676578,67.61627612,32.54290424,2,0.024422788,-1.001725512,-1.413007625,92.9647087,0.05072755,0.086423522,0.013022333,0.236751833,1.532369378,0.789288765,1.24177516,whiplike_1,6.009306568,0.0227705,6.034987365
