Species,Habitat,Leafing_Habitat,Palisade,Palisade,Cell_Surf_Area,Cell_Volume,P_length,P_width,P_SA/V,P_Ames/A,S_Ames/A,P_thick,Thick,Amax,stomata_density,epid_aba,epid_ada,IAStot/leaf,LMA,H_arml,H_armnum,chl/pal,osmotic_full,pot_loss,rwc_loss,cap_full,cap_loss,xylem_area,xylem_diam,Huber,trich_dens,trich_cov,trich_type,VLD_tot,3rd_width,VLD_min
V_opulus,cold_temperate,deciduous,0,0,2730.373,9792.098,26.109,25.871,0.279,5.654,10.596,22.968,113.236,7.773,,10.31094828,9.297525931,0.16783383,39.60955423,6.765575,2.9,0.03790446,-0.981594539,-1.308904831,91.6425257,0.062768924,0.140883738,0.034101,0.305800333,1.050389669,20.97253004,8.124140916,whiplike_1,5.861185097,0.014029667,5.886232897
V_acerifolium,cold_temperate,deciduous,0,0,3534.976,15037.196,34.314,28.828,0.229,6.581,7.652,32.409,115.342,6.77,,10.3401454,12.93416613,0.241366198,32.06320322,7.43236214,3,0.024311594,-1.188424999,-1.449073011,90.49853593,0.066338346,0.219424862,0.026528333,0.305848056,0.653348228,23.83639866,28.75476861,Anemone_4,5.731703189,0.0239125,4.811858248
V_rafinesquianum,cold_temperate,deciduous,0,0,3151.912204,8443.563493,44.434,22.163,0.373,14.028,8.859,48.355,126.176,8.216,,9.108543833,11.21602242,0.344102098,73.01182569,21.11005,3.6,0.031571961,-1.064529407,-1.506260774,90.8883589,0.064627652,0.087663653,0.029726,0.332618833,2.032047416,20.8372234,13.43529343,whiplike_1,6.115425645,0.011534167,6.600347937
V_bracteatum,cold_temperate,deciduous,0,0,2466.182465,9655.873448,35.428,21.392,0.255,6.989,8.66,35.896,151.751,8.418,,11.12016165,11.84997481,0.465722482,64.81165858,14.51025908,2,0.032322224,-0.85075436,-1.321662917,90.12444235,0.080214678,0.085574313,0.063147333,0.448627833,1.832102568,6.636819968,7.047365328,whiplike_1,4.719688237,0.021596286,4.739857845
V_rufidulum,cold_temperate,deciduous,0,1,3822.096995,14458.29501,35.305,30.298,0.264,13.04,14.964,54.431,195.192,13.213,,13.65731415,18.56317537,0.233964165,76.83363369,9.079924638,3.8,0.021404397,-1.491512783,-1.863346117,90.85145975,0.050039964,0.139273294,0.051373333,0.420996,1.162624513,0,0,none,6.272983828,0.022834,6.846610957
V_setigerum,cold_temperate,deciduous,0,0,5505.073294,21366.37653,53.566,28.337,0.258,13.597,11.65,57.74,185.244,10.109,,8.295291087,13.68883461,0.214676578,67.61627612,32.54290424,2,0.024422788,-1.001725512,-1.413007625,92.9647087,0.05072755,0.086423522,0.013022333,0.236751833,1.532369378,0.789288765,1.24177516,whiplike_1,6.009306568,0.0227705,6.034987365
V_furcatum,cold_temperate,deciduous,0,0,3171.395,10017.52,25.739,25.205,0.276,7.992,6.073,30.634,105.928,7.266,,6.190101806,5.730230548,0.313568508,46.97912071,5.30273307,2.6,0.020047458,-0.919502905,-1.281934168,88.04127225,0.099813345,0.177349835,0.039935324,0.348750245,1.632962187,4.420017085,2.777900005,Anemone_10,4.302356462,0.056147333,4.137457367
V_sieboldii,cold_temperate,deciduous,0,1,4319.167751,14119.0252,43.13,29.563,0.306,13.083,19.091,50.327,278.357,14.196,,15.76854578,24.64503417,0.41108434,65.72571586,16.85431799,3.6,0.018904947,-1.063396711,-1.352068751,91.20431193,0.06183263,0.180688404,0.045094167,0.45336225,1.83076256,5.344612495,3.652949279,Whiplike_2,4.280009803,0.035463667,4.148856271
V_sargentii,cold_temperate,deciduous,0,0,3692.033592,14959.96236,38.626,26.075,0.247,8.992,12.188,38.813,131.363,10.7,,11.53286512,13.77781404,0.33016672,69.36542985,10.02044162,2.6,0.03265177,-0.946501467,-1.316300199,93.39997498,0.052292432,0.080964447,0.053765556,0.3911855,1.360407526,7.261456639,5.062620818,Whiplike_2,4.901652279,0.0225325,4.896237411
V_wrightii,cold_temperate,deciduous,0,0,2683.784275,7520.334298,28.592,24.35,0.357,8.436,7.674,31.144,145.259,8.972,,10.64141928,16.94251384,0.381604212,45.68426268,16.85267597,2,0.041707269,-1.007865711,-1.293542088,90.22879636,0.081609616,0.19028244,0.018055667,0.2852535,0.647453909,,,,4.30421909,0.022613,4.19718374
V_lobophyllum,cold_temperate,deciduous,0,0,3283.745,10842.993,29.852,25.842,0.278,7.48,7.852,29.495,148.54,10.924,,11.20087788,16.60345448,0.38103432,72.82060838,10.31065,3.6,0.033584848,-1.096480778,-1.500699279,91.3518743,0.060213712,0.113993256,0.035231167,0.365586333,2.077758062,0.541226582,0.241903476,whiplike_1,4.074662045,0.027295333,0
